Author,Titles,Plot,Spice,Tropes & Themes,Kindle Unlimited,Notes
Hannah Grace,Icebreaker,⭐⭐⭐⭐,🌶️🌶️,Sports Romance,FALSE,
Pippa Grant,The Last Eligible Billionaire,⭐⭐⭐,🌶️,,TRUE,cute
Jennifer Hartman,Still Beating,⭐⭐⭐⭐,🌶️🌶️,"Forced Proximity, Taboo Romance, Forbidden Love",TRUE,"psychologically dark. but like i enjoyed the delving into this like mindwarp, so i included it"
Ali Hazelwood,The Love Hypothesis,⭐⭐⭐⭐⭐,🌶️,,FALSE,
,Love on the Brain,⭐⭐⭐⭐⭐,🌶️,,FALSE,
,"Love, Theoretically",⭐⭐⭐⭐⭐,🌶️,,FALSE,
Elizabeth Helen,Bonded by Thorns (Beasts of the Briar #1),⭐⭐⭐,🌶️,Fantasy,TRUE,
,Woven by Gold (Beasts of the Briar #2),⭐⭐⭐,🌶️,Fantasy,TRUE,
Emily Henry,People We Meet on Vacation,⭐⭐⭐⭐,🌶️,,FALSE,
,Beach Read,⭐⭐⭐⭐,🌶️,,FALSE,
,Book Lovers,⭐⭐⭐⭐,🌶️,,FALSE,
Ana Huang,Twisted Love (Twisted #1),⭐⭐,🌶️🌶️,,TRUE,dark
,Twisted Games (Twisted #2),⭐⭐⭐,🌶️🌶️,Bodyguard,TRUE,dark
Helena Hunting,Pucked (Pucked #1),⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
Julie Kagawa,The Iron King (The Iron Fey #1),⭐⭐⭐,YA,Fantasy,FALSE,
,The Iron Daughter (The Iron Fey #2),⭐⭐⭐⭐,YA,,FALSE,
,The Iron Queen (The Iron Fey #3),⭐⭐⭐⭐,YA,,FALSE,
,The Iron Knight (The Iron Fey #4),??,YA,,FALSE,
Avery Keelan,Offside,⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
Vi Keeland,Egomaniac,⭐⭐⭐,🌶️🌶️,,FALSE,
Elle Kennedy,The Deal (Off-Campus #1),⭐⭐⭐⭐,🌶️🌶️,Sports Romance,FALSE,
,The Mistake (Off-Campus #2),⭐⭐⭐,🌶️🌶️,Sports Romance,FALSE,
,The Score (Off-Campus #3),⭐⭐⭐,🌶️🌶️,Sports Romance,FALSE,
,Good Girl Complex (Avalon Bay #1),⭐⭐⭐⭐,🌶️🌶️,,FALSE,
,Misfit (Prep #1),⭐⭐⭐,🌶️🌶️,,FALSE,
,Rogue (Prep #2),??,??,,FALSE,
Raven Kennedy,Gild (The Plated Prisoner #1),⭐⭐⭐,🌶️,"Fantasy, Greek Mythology (sort of)",TRUE,
,Glint (The Plated Prisoner #2),⭐⭐⭐,🌶️🌶️,,TRUE,
,Gleam (The Plated Prisoner #3),⭐⭐⭐⭐,🌶️🌶️,,TRUE,
,Glow (The Plated Prisoner #4),⭐⭐⭐⭐,🌶️🌶️,,TRUE,
,Gold (The Plated Prisoner #5),??,??,,TRUE,
Rina Kent,God of Malice (Legacy of Gods #1),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,God of Pain (Legacy of Gods #2),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,God of Wrath (Legacy of Gods #2),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Deviant King (Royal Elite #1),⭐⭐⭐,🌶️🌶️,,TRUE,dark
,Steel Princess (Royal Elite #2),⭐⭐⭐,🌶️🌶️,,TRUE,dark
,Twisted Kingdom (Royal Elite #3),⭐⭐⭐,🌶️🌶️,,TRUE,dark
,Black Knight (Royal Elite #4),⭐⭐⭐,🌶️🌶️,,TRUE,dark
Saffron A. Kent,Medicine Man (Heartstone #1),⭐⭐,🌶️🌶️,Taboo,TRUE,fucked up
,My Darling Arrow (St. Mary's Rebels #1),⭐⭐,🌶️🌶️,,TRUE,dirty talk was wack
K. A. Knight,Den of Vipers,⭐⭐⭐,🌶️🌶️🌶️🌶️🌶️,"Forced Proximity, Reverse Harem",TRUE,dark
Harley Laroux,The Dare (Losers #0.5),⭐⭐⭐,🌶️🌶️🌶️,"Short Story, Degradation, Reverse Harem",FALSE,dark
,Losers: Part I (Losers #1),⭐⭐⭐⭐,🌶️🌶️🌶️🌶️🌶️,"Porn, Reverse Harem",FALSE,just pure porn. and a story of acceptance
,Losers: Part II (Losers #2),⭐⭐⭐⭐,🌶️🌶️🌶️🌶️🌶️,"Porn, Reverse Harem",FALSE,dark
,Her Soul to Take (Souls Trillogy #1),⭐⭐⭐,🌶️🌶️🌶️,"Fantasy, Demons",TRUE,dark
,Her Soul for Revenge (Souls Trilogy #2),⭐⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Soul of a Witch (Souls Trilogy #3),??,??,,TRUE,dark
Amy Lea,Set on You (Influencers #1),⭐⭐⭐⭐,🌶️,Body Positivity,FALSE,
